2016-11-06 02:38:42,102 [main] INFO  marytts.main Mary starting up...
2016-11-06 02:38:42,104 [main] INFO  marytts.main Specification version 5.2
2016-11-06 02:38:42,104 [main] INFO  marytts.main Implementation version unknown
2016-11-06 02:38:42,104 [main] INFO  marytts.main Running on a Java 1.7.0_111 implementation by Oracle Corporation, on a Linux platform (amd64, 4.4.0-31-generic)
2016-11-06 02:38:44,785 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(tr.)'
2016-11-06 02:38:44,839 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(tr,tr.)'
2016-11-06 02:38:44,841 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.fr.Phonemiser'
2016-11-06 02:38:44,889 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.fr.Preprocess'
2016-11-06 02:38:46,174 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(fr,fr.)'
2016-11-06 02:38:46,175 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.ru.Tokenizer'
2016-11-06 02:38:46,178 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2016-11-06 02:38:46,180 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(ru.)'
2016-11-06 02:38:46,727 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2016-11-06 02:38:46,736 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(ru,ru)'
2016-11-06 02:38:46,736 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2016-11-06 02:38:46,737 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Preprocess'
2016-11-06 02:38:47,217 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
2016-11-06 02:38:47,838 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_GB.)'
2016-11-06 02:38:47,971 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Prosody'
2016-11-06 02:38:47,973 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(en_US)'
2016-11-06 02:38:47,975 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.PronunciationModel'
2016-11-06 02:38:47,979 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(en,en.pos)'
2016-11-06 02:38:47,983 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(sv.)'
